,Validation_Set,Model_Variant,Negative,Vector_size,Window,Min_count,Epochs,Sample,Softmax,Word_pairs_test_Pearson_coeff,Word_pairs_test_Pearson_p-val,Word_pairs_test_Spearman_coeff,Word_pairs_test_Spearman_p-val,Word_pairs_test_Out-of-vocab_ratio,Analogies_test
123,iDnes.cz 100% Corpus,0,5,450,16,5,30,0.01,0,0.0439318924887473,0.4445953597574844,-0.0622956359628671,0.2781285605431332,13.59773371104816,0.0
124,iDnes.cz 100% Corpus,1,10,158,20,1,30,0.0,0,0.565050111292501,6.794857356775604e-29,0.5601918034203229,2.503929424589717e-28,7.64872521246459,0.0171259842519685
125,iDnes.cz 100% Corpus,0,5,450,1,2,20,0.1,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
127,iDnes.cz 100% Corpus,1,15,100,2,0,25,0.001,0,0.419277415734676,2.6039165231422386e-15,0.4296287714175183,4.479649606653244e-16,7.64872521246459,0.0074803149606299
128,iDnes.cz 100% Corpus,0,5,158,8,1,20,0.001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
129,iDnes.cz 100% Corpus,1,10,200,1,0,20,0.0,0,0.3521484650178122,5.965334561989706e-11,0.3400129073178938,2.8945268624824655e-10,7.64872521246459,0.0013779527559055
131,iDnes.cz 100% Corpus,1,15,250,16,1,25,0.001,0,0.5719490707502167,1.0270009112096772e-29,0.56773876345181,3.2708801229714116e-29,7.64872521246459,0.0187007874015748
132,iDnes.cz 100% Corpus,1,10,100,5,1,20,0.0,0,0.4880181442243124,6.538938944171133e-21,0.4995251760654637,5.601286175384592e-22,7.64872521246459,0.0155511811023622
133,iDnes.cz 100% Corpus,1,5,50,4,1,30,0.01,0,0.5029494198853962,2.6475281210381223e-22,0.516928315575403,1.136417282494366e-23,7.64872521246459,0.014763779527559
134,iDnes.cz 100% Corpus,1,5,50,8,2,30,0.01,0,0.5827914057545114,1.1097809520438106e-30,0.5735215345995035,1.4822927298612266e-29,8.78186968838527,0.0167877724880982
135,iDnes.cz 100% Corpus,1,10,100,5,0,20,0.001,0,0.4803126088629907,3.2208002004309736e-20,0.4909872640559103,3.499312230733222e-21,7.64872521246459,0.0200787401574803
136,iDnes.cz 100% Corpus,1,5,200,2,12,25,1e-05,0,0.3757489795385111,1.9032758825351158e-10,0.3966805168616398,1.4292633131677056e-11,23.79603399433428,0.0203804347826086
137,iDnes.cz 100% Corpus,0,10,158,2,0,25,0.1,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
138,iDnes.cz 100% Corpus,0,15,50,16,5,30,0.0001,0,0.0774376782276058,0.1773806233740311,0.071132325332181,0.2154412658337266,13.59773371104816,0.0
139,iDnes.cz 100% Corpus,1,5,200,12,3,25,0.1,0,0.5594097784254415,2.044862980799563e-27,0.5503425983776898,2.0368932536936755e-26,10.48158640226629,0.0231111111111111
140,iDnes.cz 100% Corpus,0,5,300,1,3,25,1e-05,0,0.1300240053319067,0.0207765432537697,0.1005042688258398,0.0744167514523903,10.48158640226629,0.0
142,iDnes.cz 100% Corpus,0,5,250,12,0,25,0.001,0,0.1295483004409854,0.019286862952128,0.0572389933894823,0.3028447197835996,7.64872521246459,0.0
143,iDnes.cz 100% Corpus,0,15,450,8,12,25,0.001,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
144,iDnes.cz 100% Corpus,1,10,100,8,1,20,0.01,0,0.535398106947921,1.4103310153720014e-25,0.5311384838131287,3.975260604414048e-25,7.64872521246459,0.0206692913385826
146,iDnes.cz 100% Corpus,1,15,100,12,0,20,1e-05,0,0.350452366033349,7.469345432858467e-11,0.3582294864365324,2.6346357172538423e-11,7.64872521246459,0.0072834645669291
148,iDnes.cz 100% Corpus,0,10,200,5,2,25,1e-05,0,0.1324476042686683,0.0174101441074306,0.1065280278733131,0.0561872933318611,8.78186968838527,0.0
149,iDnes.cz 100% Corpus,1,5,200,12,12,30,0.0001,0,0.5875942430057219,2.294910528764323e-26,0.5870526656095643,2.614955803656368e-26,23.79603399433428,0.0373641304347826
150,iDnes.cz 100% Corpus,1,10,50,16,2,20,0.1,0,0.5729110147200098,1.7531714278633557e-29,0.5643431872752084,1.7819260288538482e-28,8.78186968838527,0.0142821348033074
152,iDnes.cz 100% Corpus,0,5,450,20,2,25,1e-05,0,0.0729609533066252,0.191590982263554,-0.0015800753788882,0.9774681889383904,8.78186968838527,0.0
153,iDnes.cz 100% Corpus,1,10,158,5,8,20,0.1,0,0.523014642712689,1.492769914662476e-21,0.5290104793015157,4.260441036838672e-22,18.69688385269122,0.0207280080889787
154,iDnes.cz 100% Corpus,1,5,250,20,8,25,0.0001,0,0.594289770440677,8.590493964741038e-29,0.5981554158969492,3.0806223373454285e-29,18.69688385269122,0.0434782608695652
156,iDnes.cz 100% Corpus,1,10,200,5,1,25,0.001,0,0.4975144120063345,8.663534973300725e-22,0.5041747878632828,2.0206262052213061e-22,7.64872521246459,0.014763779527559
157,iDnes.cz 100% Corpus,0,15,200,1,8,30,0.01,0,0.0556721725475257,0.3473409797874592,-0.0304620978262301,0.607302481233335,18.69688385269122,0.0
159,iDnes.cz 100% Corpus,1,15,200,2,12,25,0.0,0,0.410425312063313,2.3581894830705546e-12,0.4104016513638441,2.3656844740049944e-12,23.79603399433428,0.0081521739130434
161,iDnes.cz 100% Corpus,0,5,450,20,12,20,0.1,0,0.112638706412915,0.0650835448674345,0.0435797756532392,0.4766064713428731,23.79603399433428,0.0
162,iDnes.cz 100% Corpus,1,5,450,1,12,30,0.0001,0,0.3485321529431986,4.229105925389881e-09,0.338154312755075,1.279524544000448e-08,23.79603399433428,0.0033967391304347
164,iDnes.cz 100% Corpus,1,15,200,20,5,30,0.01,0,0.5551827855622518,4.652469271091007e-26,0.5734359212152288,4.621331444218953e-28,13.59773371104816,0.0229533282325937
167,iDnes.cz 100% Corpus,1,5,450,5,5,30,0.1,0,0.5071100970226853,2.467828418008517e-21,0.5208213938207295,1.3201849766601345e-22,13.59773371104816,0.0179801071155317
168,iDnes.cz 100% Corpus,1,5,450,16,0,25,0.1,0,0.5521318171570506,2.080034241592356e-27,0.537328729794254,8.774706518692544e-26,7.64872521246459,0.0169291338582677
169,iDnes.cz 100% Corpus,0,10,100,5,12,20,1e-05,0,0.097641017029979,0.1100887699542313,0.0703377295453235,0.2502770105284103,23.79603399433428,0.0
171,iDnes.cz 100% Corpus,0,5,158,1,1,25,0.0001,0,0.0756817208087127,0.1728270508166401,0.0135084315346281,0.8080245233634342,7.64872521246459,0.0
172,iDnes.cz 100% Corpus,1,10,50,20,0,25,0.001,0,0.5626751883991206,1.2889737653193582e-28,0.5597934829817433,2.783883098081178e-28,7.64872521246459,0.0179133858267716
